m,l,compression_ratio_first,top1_var_mean,top1_var_std,gini_concentration_mean,gini_concentration_std,effective_dim_ratio_mean,effective_dim_ratio_std,nonlinear_gain_mean,nonlinear_gain_std,linearity_score_mean,linearity_score_std,mse_full_mean,mse_full_std
4,1,16.0,0.3256625433762868,0.01250356804656543,-0.11418672402699788,0.022447026413375492,0.9779101014137268,0.008605851990137402,0.0003096114837863303,0.00023533864944653304,0.9923162438596288,0.0003075160036354762,0.02866877553363641,0.0004280086273549994
4,2,16.0,0.3145627975463867,0.017355660438112548,-0.09818891684214275,0.03622731847524634,0.9824855128924052,0.010438767632575776,0.0017586376020755027,0.000161872645044147,0.99081199336797,0.001057124729622077,0.02827518122891585,0.000259116918618192
4,3,16.0,0.30971481402715045,0.05669322017125257,-0.08370908101399739,0.07693735774519694,0.9822031855583191,0.026165565776277922,0.0011039920534173272,0.00045301381135381204,0.9886654416720072,0.002734143953386512,0.028536556909481686,0.0004854578494064527
4,4,16.0,0.41521260142326355,0.07181440472261351,-0.23431414365768433,0.09063085301632748,0.9008321563402811,0.06210463037075277,0.0001708344067786127,9.583764177848491e-05,0.9874073693839213,0.0060192416497203746,0.029297253116965294,6.646007129682563e-05
8,1,8.0,0.15930976967016855,0.007487124610438947,-0.09318836530049641,0.006546791504512378,0.9848836461702982,0.001978319987363669,-0.0002761689673800868,0.00015694293370517926,0.9948770619618396,0.00041529746943110317,0.02658618986606598,0.00030266323766790917
8,2,8.0,0.17828242977460226,0.011692543484947616,-0.12985970576604208,0.0032843801388632494,0.9727535645167033,0.0009714037926599798,0.00026028364915740035,0.0001336340614079232,0.9953323635272682,0.0005837756452537175,0.026502917210261028,0.0005149503977087976
8,3,8.0,0.17154006163279215,0.018871864496604066,-0.1281842589378357,0.06104456938513074,0.9706905086835226,0.021757075050964688,7.471419222783471e-05,0.00045479125863114245,0.9940317509075006,0.0009689159852665441,0.02714936062693596,0.0004007275915702977
8,4,8.0,0.2577163577079773,0.039872352633048835,-0.3051271438598633,0.07694556048503577,0.8451157212257385,0.06484264767500446,0.0002713454439972057,0.00018975526671595965,0.9910963447764516,0.00370384522514989,0.029264358182748158,0.00012524640972958576
12,1,5.333333333333333,0.10724239548047383,0.013347361893872568,-0.0813026229540507,0.033309922460716075,0.9885638289981418,0.009361663383907438,-0.0006409081280911655,0.0001278065882756673,0.996239025844261,0.00011780329383750402,0.024748602882027626,0.00041757254357241826
12,2,5.333333333333333,0.14047643542289734,0.03545408240807226,-0.1671688755353292,0.024730365391529584,0.9525309668646917,0.01737784422401697,-0.00046880384606390606,0.00010744265778920809,0.9966330986159543,0.00016609038048923984,0.025220499684413273,0.00040928443244151347
12,3,5.333333333333333,0.1832853009303411,0.031084045901137596,-0.2263177434603373,0.03061808015208304,0.9142354329427084,0.026214020912797883,7.269196602370721e-05,0.0003668273312696904,0.9948842835923036,0.0008779530053995838,0.027014158045252163,0.00047658149166835215
12,4,5.333333333333333,0.24802163739999136,0.04976726455464779,-0.3557807008425395,0.01724485864771557,0.795146491792467,0.008822939489158922,0.00012828851445172013,0.00032662623480273157,0.9920325563289225,0.00200874059435499,0.028932185222705204,0.00031117055959502943
16,1,4.0,0.08001251270373662,0.002886633392308062,-0.0882237156232198,0.017879183548860356,0.9875264763832092,0.005023904130703579,-0.0011229553509140826,5.8272888098291746e-05,0.9967618072405457,0.0003414517157298369,0.022940476114551227,0.0003636946473926461
16,2,4.0,0.09712985903024673,0.0005475825814778959,-0.1631754438082377,0.02132034505438444,0.9582892855008444,0.010328085631835095,-0.0007710562660962827,3.4355996058841695e-05,0.9972220664688697,0.0002064858538739751,0.02423262658218543,0.0004085651001464001
16,3,4.0,0.11629157016674678,0.009777023130217836,-0.24744145075480142,0.024092107129418363,0.9008222421010336,0.01728418500734694,-0.0001545182335152977,0.00010903315828268805,0.9947948528764149,0.0007885658537666502,0.027167867248257,0.0005533335969719962
16,4,4.0,0.1724084069331487,0.060716440375113596,-0.3741277853647868,0.11513432638078348,0.7841678659121195,0.12035520504979534,3.8573479936800295e-05,0.0003925742308294454,0.9905324570524195,0.004847771250141254,0.029337201888362568,0.0005408633436829189
24,1,2.6666666666666665,0.07175612946351369,0.00589652057766178,-0.1402369737625122,0.00736693816619851,0.9669483502705892,0.005087625162198276,-0.002153251028919053,0.0002712503069333702,0.9965626780564586,0.00019380120728758907,0.019625330964724224,0.00013843211220441733
24,2,2.6666666666666665,0.0912299354871114,0.02192080944922398,-0.20695847272872925,0.04359995552012882,0.9278699821896023,0.03046412784950057,-0.0009606621690779828,0.00029642328906356234,0.9971031247793386,0.00045520840501013293,0.02308054578800996,0.000647832096342412
24,3,2.6666666666666665,0.11040251702070236,0.0363499446176184,-0.26539884010950726,0.02740106240656748,0.8862233426835803,0.03231428289718712,-0.00014076636418934647,0.0004309963910309987,0.9948251851213475,0.00048214520372479686,0.02733444795012474,0.0004267867994714899
24,4,2.6666666666666665,0.10234066843986511,0.02568390963500549,-0.37175071239471436,0.10413245319388599,0.784219847785102,0.10213010627911151,2.8871410137217728e-05,0.0004047140285273664,0.9902577257404724,0.0018702711708879671,0.029458203663428623,0.0009469577787068847
32,1,2.0,0.06425679350892703,0.009756468630166559,-0.1415574550628662,0.013041098148255126,0.9644682010014852,0.007304143634739197,-0.0031024847658131815,0.0002867841437697043,0.9965670163898418,0.0003245257626343703,0.01718081658085187,0.0004025867259939231
32,2,2.0,0.06646258632342021,0.009891346463345222,-0.22563183307647705,0.017220260009943398,0.9206846356391907,0.01343030848325228,-0.0011441788831124133,0.00011917316334648311,0.9969860051448146,8.816651686992229e-05,0.02278441439072291,0.0007274944481344859
32,3,2.0,0.09907249361276627,0.024090364395401524,-0.31729745864868164,0.018903214027802952,0.8428622881571451,0.009615380113546948,-0.00025696509699137154,0.00018922003492807384,0.9953189596223334,0.00043250012382537096,0.02716352107624213,0.0006432485159014378
32,4,2.0,0.11631797005732854,0.010328812116988634,-0.37069791555404663,0.017709597369758676,0.7936473488807678,0.012769101945251974,0.00042564558507212263,0.0003920487356723733,0.9914128263480961,0.0017173252705878009,0.02895813932021459,0.0004514014321135015
