n,m,l,sparsity,compression_ratio,linearity_score,nonlinear_gain,mse_full,mse_linear,top1_variance,effective_dim,seed,actual_compression
32,8,1,0.1,4.0,0.9646823033690453,-0.001241974643505641,0.029225777834653854,0.029189525172114372,0.27701446413993835,5.354714870452881,0,4.0
32,8,1,0.1,4.0,0.9714182075113058,-0.0012023380693724315,0.02764122560620308,0.027608031406998634,0.35815489292144775,4.509705066680908,1,4.0
32,8,2,0.1,4.0,0.9833234287798405,-0.00037427247428288487,0.029507983475923538,0.029496943578124046,0.6048812866210938,2.317580223083496,0,4.0
32,8,2,0.1,4.0,0.9854750093072653,-0.0003056798761107426,0.02864796109497547,0.028639206662774086,0.6082549095153809,2.1762030124664307,1,4.0
32,8,3,0.1,4.0,0.9547193832695484,-0.0004886024154690524,0.030172958970069885,0.03015822358429432,0.9209834933280945,1.1724154949188232,0,4.0
32,8,3,0.1,4.0,0.9871895182877779,-0.0006321013788510849,0.02844526246190071,0.02842729352414608,0.9522618651390076,1.1004623174667358,1,4.0
32,8,4,0.1,4.0,0.9752304926514626,-0.0007014695217964127,0.030100863426923752,0.030079763382673264,0.9991866946220398,1.0016282796859741,0,4.0
32,8,4,0.1,4.0,0.972692396491766,-0.0008882106438267206,0.028721865266561508,0.028696376830339432,0.9998468160629272,1.0003066062927246,1,4.0
32,4,1,0.1,8.0,0.9785125516355038,-0.00046694843259850787,0.029596034437417984,0.029582221060991287,0.43057340383529663,3.2214293479919434,0,8.0
32,4,1,0.1,8.0,0.9773683976382017,-0.0004252772814482028,0.029046276584267616,0.029033929109573364,0.455914705991745,3.1204276084899902,1,8.0
32,4,2,0.1,8.0,0.9872571285814047,-0.0009376163619998799,0.02948056533932686,0.02945294976234436,0.6398760676383972,2.0411088466644287,0,8.0
32,4,2,0.1,8.0,0.9844036009162664,-0.00033226243026426844,0.0289474967867136,0.02893788181245327,0.5408990383148193,2.5027501583099365,1,8.0
32,4,3,0.1,8.0,0.981791602447629,0.00015453032511532867,0.029912376776337624,0.029916999861598015,0.9636714458465576,1.0754576921463013,0,8.0
32,4,3,0.1,8.0,0.9874176476150751,-1.8619806677095526e-05,0.028910841792821884,0.028910303488373756,0.9873324632644653,1.0257083177566528,1,8.0
32,4,4,0.1,8.0,0.9743438437581062,-0.0004917682387037157,0.030289551243185997,0.030274663120508194,0.9996006488800049,1.0007989406585693,0,8.0
32,4,4,0.1,8.0,0.9812127240002155,-0.0005336740388679702,0.02863514982163906,0.028619876131415367,0.9948683381080627,1.0103235244750977,1,8.0
32,2,1,0.1,16.0,0.9659428857266903,-0.0007250088395374122,0.030957365408539772,0.030934937298297882,0.686170220375061,1.7564854621887207,0,16.0
32,2,1,0.1,16.0,0.9682972617447376,-0.0009279737100344967,0.02926425263285637,0.02923712134361267,0.5834967494010925,1.945739507675171,1,16.0
32,2,2,0.1,16.0,0.9832427892833948,-0.0011287785768429469,0.03007473796606064,0.03004082851111889,0.6498368978500366,1.8351917266845703,0,16.0
32,2,2,0.1,16.0,0.9872961603105068,-0.0003644171905706605,0.028991615399718285,0.028981054201722145,0.6273447275161743,1.878169298171997,1,16.0
32,2,3,0.1,16.0,0.98319355212152,-0.00029319380661979507,0.030064601451158524,0.030055789276957512,0.9393467307090759,1.1286031007766724,0,16.0
32,2,3,0.1,16.0,0.9913466684520245,-3.451226903201705e-05,0.028551381081342697,0.028550395742058754,0.84051513671875,1.366304874420166,1,16.0
32,2,4,0.1,16.0,0.9478407353162766,-0.0013140152636912325,0.030450042337179184,0.030410083010792732,0.9999373555183411,1.0001252889633179,0,16.0
32,2,4,0.1,16.0,0.9457318782806396,-0.0001962796045122116,0.028607722371816635,0.028602108359336853,0.9971175193786621,1.005781650543213,1,16.0
32,1,1,0.1,32.0,0.9792542271316051,-0.0008732035899731811,0.03100842982530594,0.03098137676715851,1.0,1.0,0,32.0
32,1,1,0.1,32.0,0.9841338843107224,-0.00021257328452534453,0.030113883316516876,0.03010748326778412,1.0,1.0,1,32.0
32,1,2,0.1,32.0,0.9862496517598629,-0.00021590875082866338,0.03075326234102249,0.030746623873710632,1.0,1.0,0,32.0
32,1,2,0.1,32.0,0.9864349383860826,-0.00016896863574346622,0.030044415965676308,0.030039340257644653,1.0,1.0,1,32.0
32,1,3,0.1,32.0,0.9910313794389367,-0.00018267881431367772,0.0302272979170084,0.03022177703678608,1.0,1.0,0,32.0
32,1,3,0.1,32.0,0.9826965220272541,0.00042371469278654824,0.029128653928637505,0.029141001403331757,1.0,1.0,1,32.0
32,1,4,0.1,32.0,0.9318779483437538,-0.0015420358040553479,0.030693208798766136,0.030645951628684998,1.0,1.0,0,32.0
32,1,4,0.1,32.0,0.9877530513331294,-0.00019935787158713,0.028446432203054428,0.02844076231122017,1.0,1.0,1,32.0
64,16,1,0.1,4.0,0.9882856644690037,-0.0014430128345519807,0.025431891903281212,0.025395246222615242,0.15892162919044495,11.088888168334961,0,4.0
64,16,1,0.1,4.0,0.9864389728754759,-0.001530207597599611,0.026852164417505264,0.026811137795448303,0.18874403834342957,10.078215599060059,1,4.0
64,16,2,0.1,4.0,0.99244594713673,-0.0009545793233013513,0.02757241018116474,0.027546115219593048,0.2987118661403656,5.920081615447998,0,4.0
64,16,2,0.1,4.0,0.9925174945965409,-0.0008371698325875717,0.02750534564256668,0.02748233824968338,0.22447285056114197,6.965213298797607,1,4.0
64,16,3,0.1,4.0,0.9909594338387251,-0.0003865803249895849,0.02846764400601387,0.028456643223762512,0.3742624521255493,3.5885231494903564,0,4.0
64,16,3,0.1,4.0,0.9882793528959155,-0.0004451071233475895,0.030214499682188034,0.030201056972146034,0.6031326055526733,2.0125184059143066,1,4.0
64,16,4,0.1,4.0,0.9854055130854249,-0.0001000720810469649,0.029597677290439606,0.02959471568465233,0.9962432384490967,1.0075478553771973,0,4.0
64,16,4,0.1,4.0,0.9938195687718689,-2.3247807251208973e-05,0.030126309022307396,0.030125608667731285,0.9994324445724487,1.0011359453201294,1,4.0
64,8,1,0.1,8.0,0.9845885410904884,-0.0009192160688105764,0.028163624927401543,0.02813776023685932,0.22620531916618347,6.77733850479126,0,8.0
64,8,1,0.1,8.0,0.9857914615422487,-0.0011043467739799842,0.028493620455265045,0.028462188318371773,0.20148245990276337,6.818599700927734,1,8.0
64,8,2,0.1,8.0,0.9921753266826272,-0.0006469714699777382,0.02776307612657547,0.02774512581527233,0.27387523651123047,5.817229270935059,0,8.0
64,8,2,0.1,8.0,0.9893919257447124,-0.0008026177534531319,0.028590891510248184,0.02856796234846115,0.28741827607154846,4.7799973487854,1,8.0
64,8,3,0.1,8.0,0.9916401896625757,-0.0004646126996251808,0.02789573185145855,0.027882777154445648,0.3396455645561218,4.240538120269775,0,8.0
64,8,3,0.1,8.0,0.9887014981359243,-0.00020557116779639363,0.029807182028889656,0.029801055788993835,0.38760197162628174,3.0837814807891846,1,8.0
64,8,4,0.1,8.0,0.9892441295087337,-0.00011435301870587735,0.029290156438946724,0.029286807402968407,0.7421115040779114,1.6210277080535889,0,8.0
64,8,4,0.1,8.0,0.9911577524617314,8.200563523803894e-05,0.02986595593392849,0.02986840531229973,0.916400671005249,1.1817015409469604,1,8.0
64,4,1,0.1,16.0,0.988088802434504,-0.0006733565589315678,0.02923082932829857,0.02921115979552269,0.3437226414680481,3.685652256011963,0,16.0
64,4,1,0.1,16.0,0.9849095856770873,-0.0008100077153967265,0.02979625016450882,0.029772134497761726,0.3011898994445801,3.9067859649658203,1,16.0
64,4,2,0.1,16.0,0.9910067887976766,-0.0004040298052992391,0.02922181412577629,0.029210012406110764,0.3851277232170105,3.490461826324463,0,16.0
64,4,2,0.1,16.0,0.9899667920544744,-0.00024380825394378718,0.02937452308833599,0.029367363080382347,0.34191441535949707,3.751603126525879,1,16.0
64,4,3,0.1,16.0,0.9843286722898483,6.679981510390737e-06,0.028999142348766327,0.028999336063861847,0.4682500958442688,2.635498523712158,0,16.0
64,4,3,0.1,16.0,0.9898231541737914,-3.629255513854226e-05,0.030025072395801544,0.030023982748389244,0.5668522715568542,2.3689944744110107,1,16.0
64,4,4,0.1,16.0,0.9898258093744516,-0.00016710596675977927,0.029219824820756912,0.029214942827820778,0.7599667310714722,1.5770763158798218,0,16.0
64,4,4,0.1,16.0,0.987705104984343,-5.572235362494783e-05,0.029551327228546143,0.029549680650234222,0.6298369765281677,1.8744587898254395,1,16.0
64,2,1,0.1,32.0,0.9849730730056763,-0.0003287629057837702,0.030167991295456886,0.03015807643532753,0.6363756060600281,1.861515760421753,0,32.0
64,2,1,0.1,32.0,0.9820774607360363,-0.00046100850610823844,0.03057544119656086,0.030561352148652077,0.5414500832557678,1.9863488674163818,1,32.0
64,2,2,0.1,32.0,0.9848416727036238,-0.0001582303392845301,0.030010882765054703,0.030006134882569313,0.6041785478591919,1.916787028312683,0,32.0
64,2,2,0.1,32.0,0.9846994085237384,-0.0002716432281807243,0.03047371283173561,0.030465437099337578,0.547065258026123,1.9824345111846924,1,32.0
64,2,3,0.1,32.0,0.9852313380688429,-0.00041682641909082234,0.029237044975161552,0.029224863275885582,0.6554058194160461,1.8238123655319214,0,32.0
64,2,3,0.1,32.0,0.9876413270831108,-0.00011364542896253784,0.03032488003373146,0.030321434140205383,0.7158064842224121,1.6859287023544312,1,32.0
64,2,4,0.1,32.0,0.9896433465182781,0.00021927398091391382,0.029257476329803467,0.029263893142342567,0.5774850845336914,1.9530949592590332,0,32.0
64,2,4,0.1,32.0,0.989798279479146,-7.202655644002048e-05,0.029612433165311813,0.029610300436615944,0.7518630623817444,1.5952271223068237,1,32.0
128,32,1,0.1,4.0,0.9957487359642982,-0.0010176621782297358,0.023871468380093575,0.023847199976444244,0.13534840941429138,20.484418869018555,0,4.0
128,32,1,0.1,4.0,0.9959372198209167,-0.001104430531782239,0.02442583441734314,0.024398887529969215,0.14823052287101746,19.23680877685547,1,4.0
128,32,2,0.1,4.0,0.9960007420741022,-0.0005496943554873822,0.026668665930628777,0.026654014363884926,0.2834753096103668,8.520021438598633,0,4.0
128,32,2,0.1,4.0,0.9960010801441967,-0.0004952383853448529,0.027213795110583305,0.027200324460864067,0.22962091863155365,10.68408489227295,1,4.0
128,32,3,0.1,4.0,0.9949849373660982,-0.0003417006679306542,0.02944599837064743,0.029435940086841583,0.3498874008655548,5.2494683265686035,0,4.0
128,32,3,0.1,4.0,0.9937481717206538,-3.855124455261092e-05,0.030295342206954956,0.030294174328446388,0.4454764723777771,3.5144546031951904,1,4.0
128,32,4,0.1,4.0,0.976896246895194,-9.171734410542069e-05,0.030323417857289314,0.030320636928081512,0.6576433181762695,1.8321012258529663,0,4.0
128,32,4,0.1,4.0,0.9925536317750812,-3.17614872429715e-05,0.031199999153614044,0.031199008226394653,0.9992088675498962,1.0015840530395508,1,4.0
128,16,1,0.1,8.0,0.9947663205675781,-0.0005957256163110262,0.026545699685811996,0.026529895141720772,0.10464741289615631,14.56789779663086,0,8.0
128,16,1,0.1,8.0,0.9945407016202807,-0.0007076603581082477,0.027361774817109108,0.027342425659298897,0.11365656554698944,14.076042175292969,1,8.0
128,16,2,0.1,8.0,0.9949493859894574,-0.00043974180103650433,0.027485275641083717,0.027473194524645805,0.2062760442495346,9.887774467468262,0,8.0
128,16,2,0.1,8.0,0.9955170280300081,-0.00041673923414334545,0.02821025811135769,0.02819850668311119,0.16997645795345306,11.225083351135254,1,8.0
128,16,3,0.1,8.0,0.9932453678920865,-0.0001945006835381854,0.02961643598973751,0.02961067669093609,0.23931878805160522,6.205890655517578,0,8.0
128,16,3,0.1,8.0,0.9925736719742417,-0.00019920073795258708,0.030208423733711243,0.030202407389879227,0.45857492089271545,3.5102884769439697,1,8.0
128,16,4,0.1,8.0,0.9966784396674484,-5.837373226703197e-06,0.030313679948449135,0.030313502997159958,0.9878621101379395,1.024592638015747,0,8.0
128,16,4,0.1,8.0,0.9863677239045501,-8.226676262234718e-05,0.030681783333420753,0.030679259449243546,0.37725594639778137,2.984933376312256,1,8.0
128,8,1,0.1,16.0,0.9907786874100566,-0.0003916062547913221,0.028421232476830482,0.028410106897354126,0.23476798832416534,7.035163879394531,0,16.0
128,8,1,0.1,16.0,0.9927654168568552,-0.00032702152849713645,0.029126377776265144,0.029116855934262276,0.1696363240480423,7.569839000701904,1,16.0
128,8,2,0.1,16.0,0.9938898654654622,-5.862546239990786e-05,0.02831045538187027,0.028308795765042305,0.18825353682041168,7.457571983337402,0,16.0
128,8,2,0.1,16.0,0.9946059389039874,-0.00032972219891290824,0.029724236577749252,0.029714439064264297,0.2226497381925583,7.1728315353393555,1,16.0
128,8,3,0.1,16.0,0.9937479072250426,-0.00013248478694265672,0.029851866886019707,0.02984791249036789,0.315463662147522,5.109067440032959,0,16.0
128,8,3,0.1,16.0,0.9930590400472283,-0.00013432221468020244,0.03022022545337677,0.030216166749596596,0.2516116797924042,5.3098249435424805,1,16.0
128,8,4,0.1,16.0,0.9955418901517987,-1.1003739495192489e-05,0.030469615012407303,0.03046927973628044,0.9882541298866272,1.0238094329833984,0,16.0
128,8,4,0.1,16.0,0.9907271666452289,-3.233116908356985e-05,0.030823105946183205,0.030822109431028366,0.5495520234107971,2.176987409591675,1,16.0
128,4,1,0.1,32.0,0.9874293822795153,-0.00030251518059168874,0.029255516827106476,0.02924666926264763,0.34695395827293396,3.6683692932128906,0,32.0
128,4,1,0.1,32.0,0.9888120014220476,-0.00018796276363594873,0.030140899121761322,0.03013523481786251,0.28555819392204285,3.904416561126709,1,32.0
128,4,2,0.1,32.0,0.9922069027088583,0.00027911323854582724,0.02910807728767395,0.029116204008460045,0.3067484498023987,3.847752809524536,0,32.0
128,4,2,0.1,32.0,0.9909892426803708,0.00022255444977496795,0.030407587066292763,0.030414355918765068,0.3421391248703003,3.688535451889038,1,32.0
128,4,3,0.1,32.0,0.9918210254982114,0.0002471526629556879,0.03017587400972843,0.0301833339035511,0.33303046226501465,3.8282172679901123,0,32.0
128,4,3,0.1,32.0,0.9936437834985554,-4.9078610456126174e-05,0.030553074553608894,0.030551575124263763,0.3220931589603424,3.84708571434021,1,32.0
128,4,4,0.1,32.0,0.9857116797938943,-5.4781818079521046e-05,0.030432691797614098,0.030431024730205536,0.6690205335617065,1.8056848049163818,0,32.0
128,4,4,0.1,32.0,0.9934600847773254,-3.254732278371141e-05,0.030904563143849373,0.030903557315468788,0.6263639330863953,1.9022481441497803,1,32.0
256,64,1,0.1,4.0,0.9983892196323723,-0.00044510001308842913,0.024387177079916,0.02437632717192173,0.07715951651334763,42.85595703125,0,4.0
256,64,1,0.1,4.0,0.9983663056045771,-0.00046294650457909655,0.02392246201634407,0.02391139231622219,0.07580089569091797,42.29682159423828,1,4.0
256,64,2,0.1,4.0,0.9975154104176909,-0.00027388264622652995,0.0271429643034935,0.027135532349348068,0.14845606684684753,19.77315330505371,0,4.0
256,64,2,0.1,4.0,0.997590956510976,-0.0002498308263989374,0.026735085994005203,0.02672840841114521,0.14337116479873657,20.38905906677246,1,4.0
256,64,3,0.1,4.0,0.9913575230166316,-6.098546610254715e-05,0.030361030250787735,0.0303591787815094,0.32199862599372864,4.073301315307617,0,4.0
256,64,3,0.1,4.0,0.9907702365890145,-5.427030245337172e-05,0.030753837898373604,0.030752168968319893,0.3307034373283386,3.9955434799194336,1,4.0
256,64,4,0.1,4.0,0.9942132420837879,-4.213429623834027e-06,0.03094525821506977,0.030945127829909325,0.995445191860199,1.009164810180664,0,4.0
256,64,4,0.1,4.0,0.950876247137785,-1.208672147573044e-07,0.030821340158581734,0.030821336433291435,0.8985710144042969,1.2367547750473022,1,4.0
256,32,1,0.1,8.0,0.9978531962260604,-0.0002921075080649886,0.027471916750073433,0.027463894337415695,0.06889811158180237,26.235790252685547,0,8.0
256,32,1,0.1,8.0,0.9978781272657216,-0.0002900433062700126,0.026491815224289894,0.026484133675694466,0.07337876409292221,26.031593322753906,1,8.0
256,32,2,0.1,8.0,0.9976355065591633,-0.00024413901958114634,0.02758716605603695,0.02758043259382248,0.1101902574300766,20.583850860595703,0,8.0
256,32,2,0.1,8.0,0.9977391452994198,-0.00019556755320726085,0.027321040630340576,0.027315698564052582,0.09589403122663498,20.54877471923828,1,8.0
256,32,3,0.1,8.0,0.9953630710951984,-9.529121865971375e-05,0.02955767512321472,0.029554858803749084,0.18268737196922302,8.041348457336426,0,8.0
256,32,3,0.1,8.0,0.9951077778823674,-1.195498925333697e-05,0.030070682987570763,0.03007032349705696,0.16889767348766327,8.056604385375977,1,8.0
256,32,4,0.1,8.0,0.9914679955691099,-1.9293782409882542e-05,0.031086860224604607,0.031086260452866554,0.9962543845176697,1.0075289011001587,0,8.0
256,32,4,0.1,8.0,0.9911255147308111,-2.2507371722618828e-05,0.030703570693731308,0.030702879652380943,0.9838384389877319,1.0329209566116333,1,8.0
256,16,1,0.1,16.0,0.9960476895794272,-0.00012453500074139688,0.029543349519371986,0.029539670795202255,0.10974665731191635,14.3001708984375,0,16.0
256,16,1,0.1,16.0,0.9965269460808486,-0.00014471320543932504,0.02824367955327034,0.028239592909812927,0.10376283526420593,14.387292861938477,1,16.0
256,16,2,0.1,16.0,0.9972221283242106,-0.00018713025994887713,0.028562601655721664,0.02855725772678852,0.10028112679719925,14.528608322143555,0,16.0
256,16,2,0.1,16.0,0.9970382831525058,-0.00018660321790836881,0.02821395918726921,0.028208695352077484,0.10823988169431686,14.734094619750977,1,16.0
256,16,3,0.1,16.0,0.9945393009111285,-3.9660912683250634e-05,0.029729541391134262,0.0297283623367548,0.19541575014591217,6.680454730987549,0,16.0
256,16,3,0.1,16.0,0.9942856375128031,-5.924003190721353e-05,0.030343644320964813,0.030341846868395805,0.2038261592388153,6.626405239105225,1,16.0
256,16,4,0.1,16.0,0.9894786551594734,6.141340654431612e-06,0.03093601018190384,0.03093620017170906,0.9896829128265381,1.020887851715088,0,16.0
256,16,4,0.1,16.0,0.9642621651291847,-6.060512630013678e-08,0.0307341106235981,0.03073410876095295,0.5990990400314331,1.9841179847717285,1,16.0
256,8,1,0.1,32.0,0.9918932039290667,-0.00019633836161350656,0.03041151911020279,0.030405549332499504,0.16664229333400726,7.625617980957031,0,32.0
256,8,1,0.1,32.0,0.9940976519137621,-0.00010516171493401782,0.029192762449383736,0.029189692810177803,0.17528775334358215,7.504190921783447,1,32.0
256,8,2,0.1,32.0,0.9948061499744654,-1.0984617302544802e-05,0.029505234211683273,0.029504910111427307,0.18207840621471405,7.44242000579834,0,32.0
256,8,2,0.1,32.0,0.9953812756575644,-4.6860934802075105e-05,0.029057400301098824,0.029056038707494736,0.1942363679409027,7.389886856079102,1,32.0
256,8,3,0.1,32.0,0.994616215582937,-6.746600822702184e-05,0.029819339513778687,0.029817327857017517,0.2071458250284195,6.216979026794434,0,32.0
256,8,3,0.1,32.0,0.994352824985981,-8.741997518078542e-05,0.03038622811436653,0.030383571982383728,0.2185482680797577,6.971238613128662,1,32.0
256,8,4,0.1,32.0,0.9876770367845893,-4.25942666969743e-05,0.030962113291025162,0.030960794538259506,0.6295863389968872,1.883010745048523,0,32.0
256,8,4,0.1,32.0,0.9862507069483399,-5.748225631855386e-05,0.03055855631828308,0.030556799843907356,0.5869941115379333,1.9460036754608154,1,32.0
